loan_status,person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_N,cb_person_default_on_file_Y
0,0.015625,0.002750783,0.12195122,0.014492754,0.321348315,0.120481928,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.078125,0.002750783,0.024390244,0.144927536,0.418539326,0.686746988,0.035714286,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0.046875,0.030209492,0.097560976,1,0.551123596,0.638554217,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,0.0625,0.024757047,0.195121951,1,0.497191011,0.662650602,0.071428571,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1,0.015625,0.002898146,0.048780488,0.057971014,0.096629213,0.301204819,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1,0.09375,0.035907542,0.195121951,1,0.393258427,0.542168675,0.035714286,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0.0625,0.03681923,0.12195122,1,0.319662921,0.530120482,0.071428571,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0.0625,0.038805689,0.195121951,1,0.195505618,0.506024096,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,0.015625,0.002947267,0.146341463,0.031884058,0.523595506,0.192771084,0.035714286,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
1,0.03125,0.039788111,0.146341463,1,0.278089888,0.493975904,0.071428571,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
1,0.015625,0.002947267,0.048780488,0.115942029,0.180337079,0.542168675,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
1,0.046875,0.044700224,0.048780488,1,0.139325843,0.445783133,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
1,0.09375,0.051164564,0.097560976,1,0.728651685,0.385542169,0.071428571,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0.046875,0.054524449,0.048780488,1,0.139325843,0.361445783,0.071428571,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0.046875,0.243640779,0.170731707,0.855072464,0.293820225,0.072289157,0.035714286,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.046875,0.056980505,0,1,0.139325843,0.34939759,0.071428571,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1,0.046875,0.043281114,0.170731707,1,0.833146067,0.385542169,0.071428571,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
1,0.046875,0.053542026,0.195121951,1,0.720786517,0.373493976,0.071428571,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0.0625,0.003340236,0.195121951,0.036231884,0.312921348,0.192771084,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,0.078125,0.077856983,0.048780488,1,0.116292135,0.265060241,0.071428571,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,0.078125,0.065331096,0.219512195,0.994202899,0.637640449,0.301204819,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0.03125,0.029963886,0.097560976,0.971014493,0.683146067,0.626506024,0.071428571,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0.0625,0.003428655,0,0.028985507,0.10505618,0.168674699,0.035714286,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,0.03125,0.037332055,0.073170732,0.969565217,0.512359551,0.506024096,0.071428571,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0.0625,0.031312752,0.195121951,0.942028986,0.407865169,0.590361446,0.035714286,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
1,0.015625,0.003438479,0.073170732,0.118115942,0.692134831,0.506024096,0.035714286,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
