Year      ,Month,Prepaid Cards on ATMs,Charge Cards on ATMs,Credit Cards on ATMs,Debit Cards on ATMs,"POS Machines (Debit, Credit, Prepaid, Charge Cards)",Total,Fraud Volumes (In Millions)
2024,June,213,0,639,41914,22308,42766,5760.5802
2024,May,302,0,680,47979,23916,48961,6595.0467
2024,April,234,0,623,45833,23579,46691,6289.2777
2024,March,264,0,619,50850,24034,51733,6968.4351
2024,February,264,0,584,43488,22657,44335,5971.9245
2024,January,280,0,630,47585,25607,48495,6532.2765
2023,December,264,0,630,55231,28651,56126,7560.1722
2023,November,305,0,599,46833,24894,47737,6430.1739
2023,October,293,0,656,48952,25302,49901,6721.6647
2023,September,228,0,592,51303,24301,52183,7029.0501
2023,August,368,0,597,55299,26666,56264,7578.7608
2023,July,271,0,568,48136,24721,48975,6596.9325
2023,June,287,0,564,48894,23451,49745,6700.6515
2023,May,352,0,592,53936,23530,54880,7392.336
2023,April,255,0,537,50052,21771,50844,6848.6868
2023,March,300,0,587,54952,22235,55840,7521.648
2023,February,260,0.12,518,54550,19451,55328,7452.6816
2023,January,315,0.12,596,58555,22052,59466,8010.0702
2022,December,227,0.13,605,60043,24634,60875,8199.8625
2022,November,240,0.03,576,47767,20701,48583,6544.1301
2022,October,242,0.04,607,57807,20613,58656,7900.9632
2022,September,254,0.06,592,58521,20492,59367,7996.7349
2022,August,223,0.13,523,50253,19727,51000,6869.7
2022,July,215,0.12,555,60090,21483,60860,8197.842
2022,June,218,0.09,536,57635,24626,58389,7864.9983
2022,May,218,0.11,572,60276,20728,61065,8225.4555
2022,April,208,0.05,534,63884,20254,64627,8705.2569
2022,March,203,0.11,546,62441,21338,63190,8511.693
2022,February,180,0.2,493,54050,16360,54723,7371.1881
2022,January,199,0.02,559,55507,17059,56265,7578.8955
2021,December,199,0.28,558,67924,20475,68682,9251.4654
2021,November,204,0.11,609,59792,18698,60605,8163.4935
2021,October,197,0.15,588,65422,17685,66207,8918.0829
2021,September,177,0.06,557,60069,17050,60804,8190.2988
2021,August,145,0.17,563,62718,16407,63426,8543.4822
2021,July,159,0.13,585,68950,16052,69694,9387.7818
2021,June,141,0.1,559,58761,15542,59460,8009.262
2021,May,140,0.08,594,64457,15422,65191,8781.2277
2021,April,133,0.07,517,57078,14401,57728,7775.9616
2021,March,148,0.02,584,62559,15388,63291,8525.2977
2021,February,129,0.2,548,56275,12782,56952,7671.4344
2021,January,125,0.4,545,61727,14434,62398,8405.0106
2020,December,180,0.1,579,70206,17764,70965,9558.9855
2020,November,126,0.1,451,61133,13792,61710,8312.337
2020,October,143,0.12,596,65628,14065,66367,8939.6349
2020,September,146,0.14,576,58789,13161,59511,8016.1317
2020,August,141,0.12,542,56880,12053,57563,7753.7361
2020,July,117,0.11,506,50782,12616,51405,6924.2535
2020,June,129,0.04,617,39578,10661,40324,5431.6428
2020,May,99,0.4,433,41229,9639,41761,5625.2067
2020,April,102,0.2,447,34692,8750,35241,4746.9627
2020,March,194.25,0.24,611,51309,15052,52114,7019.7558
2020,February,209,0.2,626,52220,14980,53055,7146.5085
2020,January,192,0.1,743,59459,15183,60394,8135.0718
2019,December,239,0.2,793,63719,18903,64750,8721.825
2019,November,236,0.2,669,58317,15888,59222,7977.2034
2019,October,225,0.3,699,62197,16354,63121,8502.3987
2019,September,233,0.3,737,53952,15877,54923,7398.1281
2019,August,210,0.5,643,58512,14973,59366,7996.6002
2019,July,208,0.2,627,53340,15526,54175,7297.3725
2019,June,156,0.2,629,57283,13088,58068,7821.7596
2019,May,160,0.2,759,61154,13170,62074,8361.3678
2019,April,391,0.2,701,62502,13786,63594,8566.1118
2019,March,394,0.3,673,63912,13272,64979,8752.6713
2019,February,313,0.2,679,56343,11887,57335,7723.0245
2019,January,129,0.5,815,40660,14532,41605,5604.1935
2018,December,169,0.5,781,45448,13257,46399,6249.9453
2018,November,180,0.6,796,40576,9881,41553,5597.1891
2018,October,132,0.5,845,40743,9881,41721,5619.8187
2018,September,132,0.2,802,35485,9716,36419,4905.6393
2018,August,172,0.3,1293,36985,11408,38450,5179.215
2018,July,172,0.06,1193,39196,11159,40561,5463.5667
2018,June,163,0.04,1211,39127,10318,40501,5455.4847
2018,May,160,0.2,1295,39556,9822,41011,5524.1817
2018,April,142.5,0.4,802,38884,9574,39829,5364.9663
2018,March,152.1,0.2,835,39976,9925,40963,5517.7161
2018,February,196.3,0.3,773,35979,8860,36949,4977.0303
2018,January,137.7,0.41,894,39426,9254,40458,5449.6926
