Date,averagehourly_earnings,all_employees_manufacturing,producer_price_index,durable_goods_new_orders,manufacturers_new_orders_total,Adj Close
2006-03-01,20.05,14214,155.0,227188,430457,11195.0
2006-04-01,20.15,14226,157.2,214625,418625,11427.0
2006-05-01,20.13,14203,158.5,215819,423472,11188.0
2006-06-01,20.23,14213,159.5,221220,427440,11247.0
2006-07-01,20.29,14188,159.4,209494,416849,11230.0
2006-08-01,20.32,14159,159.8,210473,418759,11391.0
2006-09-01,20.41,14125,156.8,234701,435776,11749.0
2006-11-01,20.49,14041,156.4,224809,426451,12247.0
2006-12-01,20.57,14015,156.9,229243,437894,12539.0
2007-01-01,20.59,14008,156.4,222969,427905,12660.0
2007-02-01,20.68,13997,157.7,220962,430410,12274.0
2007-03-01,20.73,13970,160.1,229526,442158,12440.0
2007-05-01,20.84,13929,163.8,228836,445891,13650.0
2007-06-01,20.95,13911,163.7,228868,446539,13517.0
2007-08-01,21.0,13828,163.0,235758,452598,13364.0
2007-09-01,21.04,13790,163.7,226473,448633,13994.0
2007-10-01,21.06,13764,164.5,230700,458907,13936.0
2007-11-01,21.12,13757,168.0,227005,464910,13422.0
2007-12-01,21.17,13746,166.9,244443,481274,13328.0
2008-01-01,21.2,13725,168.5,239389,478676,12614.0
2008-02-01,21.26,13696,169.6,235037,473714,12306.0
2008-03-01,21.36,13659,173.4,234868,473829,12257.0
2008-04-01,21.38,13599,175.3,231086,477888,12807.0
2008-05-01,21.47,13564,179.4,227370,477706,12637.0
2008-07-01,21.6,13430,185.6,220411,477725,11359.0
2008-08-01,21.7,13358,182.6,214106,463929,11541.0
2008-09-01,21.72,13275,182.9,215245,452545,10861.0
2008-10-01,21.76,13147,176.8,191912,419715,9298.0
2008-11-01,21.87,13034,169.4,181552,386733,8821.0
2008-12-01,21.94,12850,164.1,173849,365490,8727.0
2009-01-01,21.96,12561,164.7,151085,343559,7955.0
2009-04-01,22.09,12030,164.2,147467,334449,8126.0
2009-05-01,22.11,11862,165.8,149255,339817,8488.0
2009-06-01,22.14,11726,168.4,147033,345129,8394.0
2009-07-01,22.18,11668,167.1,153691,348909,9126.0
2009-08-01,22.23,11626,169.4,157489,355776,9486.0
2009-09-01,22.27,11591,168.6,158041,359189,9653.0
2009-10-01,22.3,11538,168.9,161097,366143,9664.0
2009-12-01,22.36,11475,170.8,160520,371392,10365.0
2010-01-01,22.41,11460,173.1,181016,393694,10017.0
2010-02-01,22.45,11453,172.2,180450,394215,10311.0
2010-03-01,22.46,11453,173.9,182148,400659,10797.0
2010-04-01,22.49,11489,175.2,182948,400842,10960.0
2010-05-01,22.53,11525,176.1,189932,404370,10126.0
2010-06-01,22.53,11545,174.8,185667,400624,9716.0
2010-07-01,22.59,11561,174.7,187506,402326,10417.0
2010-09-01,22.67,11563,175.5,201932,422049,10723.0
2010-10-01,22.74,11562,177.3,193066,417830,11066.0
2010-11-01,22.73,11585,178.2,197202,426427,10996.0
2010-12-01,22.76,11595,179.1,193452,429764,11513.0
2011-01-01,22.86,11621,181.1,203636,445734,11840.0
2011-02-01,22.87,11654,183.3,196393,438975,12214.0
2011-03-01,22.87,11675,187.3,212748,463133,12252.0
2011-04-01,22.91,11704,190.2,200733,454441,12756.0
2011-06-01,23.01,11727,191.1,201579,454746,12345.0
2011-07-01,23.1,11746,191.7,206458,459477,12088.0
2011-08-01,23.07,11764,190.7,216705,468947,11603.0
2011-09-01,23.12,11769,191.5,204738,457843,10841.0
2011-10-01,23.2,11780,190.2,210799,463126,11897.0
2011-11-01,23.19,11770,190.6,215531,471598,12035.0
2011-12-01,23.22,11802,189.6,223835,478391,12150.0
2012-02-01,23.28,11860,192.1,226911,486936,12937.0
2012-03-01,23.36,11898,194.3,221801,480147,13142.0
2012-05-01,23.4,11927,193.6,219765,473108,12383.0
2012-06-01,23.46,11936,191.7,217652,462435,12808.0
2012-08-01,23.48,11960,193.5,199963,455821,13079.0
2012-09-01,23.57,11954,195.4,217090,475369,13355.0
2012-10-01,23.56,11961,195.1,218522,478507,13030.0
2012-11-01,23.63,11950,192.6,217446,475932,13008.0
2012-12-01,23.73,11960,191.8,230814,488496,13027.0
2013-01-01,23.75,11983,192.6,223067,485261,13797.0
2013-02-01,23.78,11996,195.2,234600,501221,14038.0
2013-03-01,23.8,11999,194.5,217165,475224,14497.0
2013-04-01,23.87,12000,194.0,226738,481657,14773.0
2013-05-01,23.89,12000,194.0,236717,494363,15100.0
